1,419934
1001582,1
1001583,14
1001585,104
1001714,17
100225,423
100226,85
1002359,32
1002672,800
1002725,1
1002804,376
1002809,519
1002918,1
1003177,69
1003195,711
1003238,1
1003239,453
1003335,7298
1003835,17
1004785,629
1004787,299
1004788,171
1004901,185
1004951,3
1004952,148
1005041,5
1005042,65
1005048,302
1005057,674
1005058,1315
1005090,531
1006006,607
1006007,666
1006155,1028
1006543,1
1006551,46
1006554,63
1006576,2109
1006579,52
1006581,108
1006598,2
1007105,310
1007676,1181
1007869,27
1008459,696
100887,18
100901,77
1009464,133
1009846,145
1009858,16
1010,2024
101020,107114
1010614,1
101281,1
1014,2080
101510,227
101571,356
1016,5424
1016987,907
1016998,31
1017,16069
101850,16
1019,4579
102107,100551
102115,565
10239,5
10241,3
10242,182
10243,20
10245,32
10255,4
10256,160
10258,1
10260,415
102608,47
10261,357
102611,32
10264,125
10265,158
10266,13
102684,157
1026955,52
10271,54
10273,69
10276,228
1027947,1
10280,2
10282,15
1028416,1038
10286,213
1028729,5885
10288,279
1028800,198
1028801,247
1028989,297
10294,3
1029718,19
1029756,425
10298,5
1029983,22
1029988,27
1030157,275
10310,9
1031536,283
1031538,468
1031542,1429
10317,2
1031752,800
10319,5
1031920,370
1032066,286
1032069,2543
1032070,2182
1032071,656
1032238,3844
1032239,996
1032240,2088
1032241,2059
1032480,321
10325,5
1032623,2118
10331,23
10334,8
10335,37
1033806,128
1033837,49
1033922,22
1033976,12
1033977,10
1033991,313
1034103,18
1034107,2
1034112,26
1034114,3
1034125,2
1034144,2
1034152,1
103442,5
10345,20
1034807,3127
1034889,338
10353,16
1035662,4
10358,1
1035817,4
10359,5
1036172,824
10366,28
1036615,1
1036672,490
1036673,84
103690,3
10371,79
10372,81
103721,63
103722,19
103723,1
103733,490
10376,56
1037911,82
1037915,5
103796,215
10380,19
1038068,22
10381,143
103816,208
10385,26
103855,500
10386,33
1038856,417
1038921,86
1038922,333
1038923,19
1038929,461
10390,40
10397,28
10398,16
10401,2
104087,777
1041,23
104102,305
1041504,2527
1041522,267
1041526,19
1041527,15
1041826,355
1041883,1
1041929,25
1041930,249
1042123,2
1042156,1121
1042163,199
1042417,387
104264,555
104267,861
104268,2194
1042876,24
1042877,373
1042878,273
104336,733
104388,29
10449,21
1045004,529
10454,34
10455,55
10456,38
104580,3
1045808,42
1045854,305
1045855,271
1045858,3333
1046,18
